詞條,釋義,中文,頁數
pasaas,"pinûsaas, papûsaas, asaassen, inasaas, to occasion a looseness.",弄鬆,207
pasaap,"pi, pa, asappa, ipasap, inipasûp, to seam, so that the ends lap over each other. Asap, nom. Trans. pasap.",縫接，讓各端重疊在一起,207
pûsaso,"trans. from Sûmmaso, which see.",使游泳,207
pasear,"trans. from Masear, which see.",建置,207
pasas,"pi, pa, asasa, ipasasa, to carry on the head or on the neck, as an ox, the yoke, also to carry on the shoulders. Asasan, the place where men carry any thing; asasaù, the yoke which the ox bears.",以頭或脖子搬運,207
pûsassar,"pinûsassar, ipasassara, ipasassar, inipasassar, inoipasassar, to whistle or say any thing softly, see Passassar.",吹口哨；輕聲說話,207
pûsbas,"pinabas, papûsbas, basbassa, basbassen, binasbas, inobasbassen, to bite flat, to gnaw even.",咬平；啃平,207
paseerseer,"pi, pa, imp. aseerseer, to rattle without noise. See Pakillekille.",無噪音地喋喋不休,207
pûshadda,"pinûshadda, papûshadda, ipashadda, inipûshadda, inoipashadda, to put a roof on the house.",在房子上蓋屋頂,208
pûsi,"pi, pa, asia, asian, inasian, inoasian, ipasi, pass, ipasi, inipasi, inoipûsi, to shell. Asi, a peeling.",剝殼,208
pûshimit,"pi, pa, imp. ashimda, pass. ashimdan, to stroke with the hand.",用手撫摸,208
pasinok,"pinasinok, papasinok, ipasinokka, ipûsinok, inipasinok, inoipasinok, to blow the nose; see Passinok.",擤鼻子,208
pashemar,"pinûshemar, papûshemar, ashemûrra, ashemûrran, inashemarran, inoashemarran, to smear, to rub over; wherewith ? ipashemar, inipaahemar, inoipasjemar, to let the same be done, in which case it is ipashemarra, ipashemar, &c. as above. Sashemar, fat.",塗抹；摩擦,208
pasies,"fiery, courageous, pasies o ramied, bold in words, to boast, to vaunt. Pasies o mababat, proud in one's gait. Asies, nom, lofty. Ma-asies, one who is bold.",暴躁的；勇敢的,208
pasiet,"piasiet, papûsiet, having taken cold, to cough. Asiet, a cough.",感冒；咳嗽,208
passhir,"pinashir, papasshir, isshirra, to put anything down or in. Pashir, trans. nom. sashir, the putting any thing down, sûshiran, or sashirayan, the place where men put anything down. Sûshiran o tûttullo, contracted, sashiran tûttûllo, a trader.",放下,208
pashi,"to pass along. Pashi abas, along the sea shore. Móso, ditto.",沿著...經過,209
pasinsin,"pinsiansin, papasinsin, the head-ache.",頭痛,209
passhipir,"pi, pa, asshipirra, to sprinkle with water, same as babichi; ashipir, nom. subst, a sprinkling.",灑水,209
pasíksik,"pinasiksik, papasiksik, asiksikka, asiksikken, inasiksik, inoasiksikken, as pûdidden; in this form it is active, so also mûsisisik, but imp. ipasiksikka, pass. ipasiksik, inipasiksik, inoipasiksik; from sûmmiksik.",,209
pasisiet,"pinàsisiet, papûsisiet, asisita, asisiten, inasisiet, inoasisiten, to cool any food that is hot, also to let cool; in which case it is ipasisita, ipasisiet.",讓食物冷卻,209
pasisse,"and Pasissississese, to rattle, as a broken gong, the bell &c.",搖響〈像是壞掉的銅鑼〉,209
pûsoa,"pinasoa, papasoa, asoû, ûsoan, inûsoa, inoasoan, or soan, sinoan, to wound, to cause to be wounded, in which case it is ipûsoa, inipasoa.",傷害；使受傷,209
pasobi,"pinasobi, papasibo, ipasobia, ipasobi, inipasobi, inoipasobi, to strew and sprinkle with any thing dry, as salt, sand, &c.",散佈；撒乾的物體,209
pasoeisoei,"pinasoeisoei, papasoeisoei, asoeisoeia, to whistle with the mouth.",用嘴巴吹口哨,210
pûsoes,"pinûsoes, papûsoes, ipûsoesa, ipasoes, inipasoes, inoipûsoes, to cause to hear. Pabûsoes, pinabûsoes, papabasoes, ipapûssoesa, ipûpassoes, inipapassoes, inoipapassoes, ditto.",使聽見,210
pûsoes,see under passos.,,210
pûsor,"p, pa, imp, asorra, pass. ipasorra, to join together two things that are separated from each other, and which ought to be united, as two houses, two letters, &c.",使兩個原本應連接但卻分離的東西相連,210
pasosot,"pinasosot, papasosot, asosota, asosotan, inasosotan, inoasosotan, to deal out, to distribute, what ? asosoten, inûsosoot, inoasosoten, or ipûsosot.",分發,210
paspas,"pi, pa, paspûssa, paspûssen, pinaspûssen, inopaspûssen, to rain gently. Paaspas, trans. Paspas, nom. a muzzling rain.",綿綿下雨,210
passabo,"pinûssabo, papûssabo, assabóa, assabon, inassabo, inoassabon, to carry anything between two. Pasabo, pinâsabo, papasabo, ipûsaboa, ipûsabo, inipasabo, inoipasabo, to do thus.",在兩物之中搬運,210
pûssapa,"pinassapa, papassapa, to lisp.",口齒不清地說話,210
passasar,"pinassassar, papassassar, assassûrra, assassûrran, inassassarran, inoassassarran, to whisper.",竊竊私語,211
passhadda,"pinasshadda, papasshadda, to cover a house, what ? asshadda, asshaddanni. inassiaddanni, wherewith ? ipashaddan, sipashadda, &c.",蓋住房子,211
pûssinok,"pinûssinok, papûssinok, assinokka, assinokkan, to blow the nose.",擤鼻涕,211
pûssobi,"pinûssobi, papûssobi, assobia, assobian, inassobian, inoassóbian, to strew with anything dry, as salt, &c.",以乾的物體散佈；撒,211
pûsso,"pinasso, papûsso, bassoa, bassoan, binassoan, inobassoan, to make a string of bamboo.",做竹繩,211
pûssopietpiet,"pinassopietpiet, papassopietpiet, assopietpieta, assopietpietan, inassopietpietan, inoassopietpietan, to seam. Pasopietpiet, pi, pa, ipasopietpieta, ipasopietpiet, inopasopiepiet, inoipasopietpiet, to cause to be hemmed.",縫接,211
passoes,"a bore. Passos, pi, pa, pûssossa, passosan, pinassosan, to bore.",洞,211
pasopir,"pi, pa, assopirra, assopirran, inassopirran, inoassopirran, to fish with a cast net. Pasopir, pi, pa, ipasopirra, ipasopir, to fish thus. Assopir, such fishing; also the instrument employed, a cast net.",用網捕魚,211
passos,"pi, pa, bassosa, bassosan, binûssosan, inobassosan, to kiss. Pabassos, pi, pa, ipabûssosa, ipabassos, inipabassos. Babûssos, a kiss, nom.",親吻,212
passoso,"pinûssoso, papûssoso, assosoa, to whom ? assosoan, inassosoûn, inoassosoan, to give, to present, to give for nothing: what ? ipassos, inipassoso, inoipassoso, ditto. Passok, pi, pa, imp. assokka, from whence seems to be derived the name of the village Assok, which is the noun, from the verb passok, meaning a gift; because the site of the village Assok was formerly given to the inhabitants of Tamachan. Psaoso, trans. a gift.",給；呈現,212
pûtach,"pinûtach, papûtach, ipûtacha, ipatach, inipûtach, inoipatach, to make the teeth black. See pattach.",把牙齒染黑,212
pûtapa,"pinûtapa, papûtapa, to let anything fall down from above, what ? ipûtapa, ipatapa, inipatapa, inoipatapa, on whom ? atapa-a, atapa-an, inatûpa-an, inoatapaûn; also to do thus, in which case it is ipatapa, &c.",從上面掉下來,212
patippo,"pinàtippo, papatippo, atippoa, atippoan, inatippóan, inoatippoan, to shoot with a musket, or to cause to shoot, in which case it is inoatippoa, ipatippo, inipatippo, inoipatippo.",用步槍射擊,212
patis,"pinatis, papatis, ipatissa, ipatia, inipatis, inoipatis, to throw away or lose, trans. from Matis, which see.",丟掉；輸,213
patoóm,"pi, pa, atoamma, atoamman, &c. to let dogs play together.",讓狗玩在一起,213
patarion,"pi, pa, papatta-arion, to put any thing behind. See Matarron.",把...放在後面,213
passikasûr,"pi, pa, assikasarra, to lay one over the other.",把...放在另一個東西上面,213
patsikir,"pi, pa, atsikirra, the singing of the larks, nom. tsikir.",雲雀的叫聲,213
pûttach,"pinattach, papattach, attacha, attachan, to blacken the teeth.",染黑牙齒,213
pattaggai,as Paggai.,短暫的時間、一分鐘,213
patsiliek,the chattering of sparrows.,麻雀的叫聲,213
pattadach,"pinattadach, papattadach, atadacha, atadachen, to warm. Patadach, pi, pa, ipatadacha, ipatadach, inipatadach, to make warm.",使溫暖,213
pattala,"is never used alone, but Mau patala, stepfather; Naij patala, stepmother; Shiem patala, stepson; Atoasa patala, stepbrother, or stepsister.",繼〈父、母…〉,213
pattallaijach,"pinattallaijach, papattallaijach, attallaijacha, attallaijachan, inattallaijachen, to lie on one's back. Patallaijach, pinattallaijach, papatallaijach, ipatallaijach, ipatallaijacha, to put on the back.",躺在某人背上,213
pattallakkûm,"pinattallakkum, papatallakkum, atallakkumma, inatallakkumman, inoatallakkumman, as Pallakkum. But patallakkûm, pinatallakkûm, papatallakkum, ipatallakkumma, ipatallakkûm, inipatallakkûm, inoipatallkkûm, as palakkum.",,214
pattap,"pinattap, papattap, attappa, attappen, inattappan, inoattappan, to up a hole or rent, either with patching, darning, or plaiting.",縫補破洞或裂縫,214
pûttapa,"pinattapa, papattapa, to fall, to fall down, as the drops of water from the roof; hence attapa-an, inatapa-an, inoatapa-an, to cause to fall; patapa; hence attapa, nom. a drop.",掉落,214
pattûrran,"pinattarran, papattarran, atarrana, atarranen, inatarran, inoatarrannen, to get out of the way, to make room. To cause that such be done. Patarran, pinatarran, papatarran, ipatarrana, ipatarran, &c.",讓路,214
patûrrigi,"from Matarrigi, which see.",,214
pattas,"pinattas, papattas, atassa, atassen, inattassan, inoattassan, to paint, to write. Patas, pinatas, papattas, ipatassa, ipatas, to cause to be written or painted.",畫畫；寫字,214
pattaûlieb,"pinattaulieb, papattaûlieb, ataûliba, ataûliban, inataûliban, inoataûliban, to hold any thing behind or under one. PataûlieB, pinataûlieb, papataûlieb. ipataûliba, ipataûlieb, inipataûlieb, to shelter any one.",把...握在後面；下面,215
pattaûso,"pinattaûso, papattaûso, ataûsoa, ataûsoan, inataûso, to heal. Pataûso, pinataûso, papataûso, ipataûsoa, ipataûso, to cause to be healed.",治癒,215
pattó,"pinatto, the tingling in the ears.",耳鳴,215
pattaûte,"pinattaûte, papattaûte, attaûtea, attaûtin, inataûte, inoatautin, unexpectedly to take fire. Pataute, pinataûte, papataûte, ipataûtea, ipataûte, inipataûte, inoipataûte, to do thus.",無意間生火,215
pattûzies,"pinattazies, papattazìes, attazisa, to make a scare crow, pass. ipattazìes, inipattazies, inoipatazies, that of which a scare crow is made. Also to set up a scare crow, in which case it is attazisan, inattazisan, inoattaziaan. Patazies, pi, pa, ipatazies, ipatazisa, inipatazies, to do thus.",做稻草人,215
pattil,"pinattil, papattil, ipattilla, attilla, ipattil, attillan, inipattil, inattillan, inoipattil, inoatillan, to learn, to give lesson, activ. Patil, pinattil, papatil, ipatilla, to learn; neutral. &c. this has no participle. Thus people say, Cho attillan, the peole are taught; attite o Deos ipattil, the word of God is taught.",教導,215
Pattillo,"pinattillo, papatillo, ipattilloa,
arrilloa, ipattillo, *attilloan,
*inipattillo, inattilloan, inoipattillo,
inoattilloan, to command, to order.
*l'atillo, pinatillo, papatillo, &c.
to cause to command;
attilloan ja cho, the people are commanded;
ipatillo ja *rauied, the order is given.",命令,216
Pattite,"pinattite, papattite, attitea, attitean.
inattitean, *inoattitean, 
to speak openly to the people, to preach.
Patite, pi, pa, ipatitea, ipatite, inipatite, inoipatite,
to do thus.",公開演說；傳教,216
Pattodoch,"pinattodoch, *papattodoch, attodocha, attodochen,
inattodoch, inoattodochen, to buy.
*Patodoch, pinatodoch, papatodoch, ipatodocha,
ipatodoch, *inipatadoch, &c. to let buy.",買,216
*Pattodon,"pinattodon, papattodon, *attodonua, *attoddounan,
inattodonnan, inoattodounan, to dwell, to inhabit.
Patodon, pi, pa, ipatodonna, ipatodon, *iniputodon,
to cause to dwell.",居住,216
*Pattokar,"pinattokar, papattokar, attokarra, attokarran,
inattokarran, *inoattokarran, to fix a mast in a vessel.
Patokar, pi, pa, &c. *Ipatokarran, ipatokar,
inipatokar, to do so. Attokar, a mast.",在船上立桅桿,216
Pattok,"pi, pa, atokka, to be still.
Pattok, pi, pa, ipatokka, ipatok, inipatok, inoipatok,
to make still, or to still.",靜止不動,217
Pattonan,"pinattonan, papattonan, attonanna, attonannan,
inattonannan, to name.
Pûtonan, pin, pan, ipatonanna, ipetonan, &c.
to cause to be named.",命名,217
Pattorróboch,"pi, pa attorrobocha, attorrobochen, inattorroboch,
inoattorobóchen, to have a camp, or place of meeting
abroad in the field, when men go to hunt, fish, &c. 
where they can stow away the baggage.
Patorroboch, trans. roboch, nom. 
baggage which people take with them to the hunt.","在野外有帳篷等
可以放行囊的地方",217
Paû,"to beget, to generate, generally betokens the taking up,
the accounting, or the taking up of an affair.
*au paûbaddoa, paû alle, also paû sjiem, to take any
one for baddoa, alle, or shiem, (i.e. child) This paû is
compounded with verbs as well as nouns. See below.",引發、產生（事件等）,217
Paûaat,"trans. from Maûaat, which see.",,217
Paúab,"pinaûab, papaûab, *ipaûaba, ipaûab, inipaûab,
to cause to increase, to enlarge, from Moab, which see.",使增加、擴大,217
Pauba,"pinauba, papauba, ipaûba, inipaûba, inoipauba, to drive 
away sleep, to wake anyone out of sleep.",使清醒,218
Paubûddoa,"those who are born on the same dat call each other baddoa; to take one 
for such is paubaddoa, piûnabaddoa, papaûbaddoa, 
aûbaddoa, aûbaddoan, inaubaddoa, inoaubaddoa; paaûbaddoa, 
pinaaûbaddoa, papaaûbaddoa, ipûaûbaddoa, inopaaûbaddoa.",同天生日的人,218
Paûballag,"pi, pa , aûballûg-a, to take anything for own's property. 
Paauballag, to do so.",,
Paûchar,"pinaûchar, papaûchar, aûchûrra, aucharran, inaûcharran, inoaûchûrran,
to breathe. Paûûchar, pi, pa, ippaûcharra, ipaaûchar, inipaaûchar,
to do so. Hence char, the breath, also aûchar, the Spirit.",呼吸,
Paûche,"oh you lacquey, you poor fellow!",,
Paûchódon,"pi, pa, auchodónna, to take any one for one's relation. Paaûchodon,
to do so.",認作親戚,
Paûchûs,"pinaûchús, papaùchûs, aûchûssa, aûchûssen, inaûchus, inoauchussen, 
to finish any work, to leave off. Also to have used any instrument or
thing long enough. In which case it is auchussan, inauchussan, 
innauchussan. Paaûchûs, pi, pa, ipaaûchussa, ipaaûchus, inipaaûchus,
to cause or let leave off. &c. See Maûchus",完成工作,
Paû-makakoss,"pi, pa, auakakossia, pas. aûakakossi-in, &c. 
to account any one disobedient.",認為⋯⋯不順從,219
Paû-mabisse,"pau-machimit, aûachimta, aûabissea. Pau-marapies, paumario, &c.
all of which formed in the same manner.",??????,
Paûdon,"pi, pa, audonna, audonnao, inaûdon, inoaûdonnan, to account one's
house one's own. Paaûdon, trans.",認家,
Paaûch,"pi, pa, aûcha, pass. to blow or snort through the nose, 
as the oxen, &c. from rage. Aûch, the blowing.",（牛）生氣時從鼻孔噴氣,
Pau-kamain,"pi, pa, aûkamaina, to account any obe a relation by marriage.",因婚姻而產生關係,
Paûkakossi,"pi, pa, aûkakossia, to account any one disobedient. Paaûkakossi,
to do so.",認為⋯⋯不順從,
Paûlallûm,"pi, pa, aulalluma, to dig deep, as if it were said, to make deep. See above.
Paollûllum, see molalum.",深掘，深挖,
Paurapies,"pi, pa, aurapisa, to account or consider anything bad.",認為⋯⋯不好,
Paûrio,"pi, pa, aurio-a, to account or consider anything good.",認為⋯⋯好,220
Paûpi,"see Maûpi, of which this is the transitive.",Maûpi的transitive,
Paurod,"see Morriod, ditto.",,
Paúre,"pinaúre, pàpaure, aûrea, aûrin, inaure, inoaurin, to make slices of flesh 
or fish. Paaûre, pinaaure, papaaure, ipaaurea, ipaaûre, inipaaûre,
inoipaaure, to do thus. Re, dried flesh or fish.",切（魚）肉,
Paûrtatach,"pinaûrtatach, papaûrtatach, ipaûrtatach-a, ipaurtatach-a, ipaurtatach, 
inipaurtatach, inoipaurtatach, to scatter. act. paaûrtatach, pinaaûrtatach,
papaaurtatach, pa. ipaaurtatacha, ipaaurtatach, inipaaurtatach, 
inoipaaurtatach, to cause to be scatterd, trans, front Mortatach.",散落,
Paùroos,"pinaûros, papauros, aurosa, aurossen, inauros, inoaurossen, to take any
one for one's consort. Paaûros, pi, pa, ipaaurosa, ipaauros, &c. to cause
any one to be taken for one's consort.",,
Paûloûn,"pinauloan, papauloan, aûloanna, aûloannen, inaûloan, inoauloannen,
to make any one for a labourer or slave. Also to do thus, in which case
it is ipadloanna, ipauloan, inipaûloan, inoipaûloan. Loan, victuals, a slave,
also a quadruped. But whenever this word is used for a slave, it is always
employed in a bad sense.",使成為奴隸,
